stream	min_score	max_score	interest	college_name	college_course	college_fee	college_chance	match_score	career_title	career_desc	career_growth
PCM	85	100	Computer Science	IIT Bombay	B.Tech Computer Science	250000	Medium	95	AI Engineer	Develop machine learning models and AI systems for top tech firms.	+24% YoY
PCM	85	100	Computer Science	IIT Delhi	B.Tech Computer Science	230000	Medium	94	Software Architect	Design large-scale distributed systems and cloud infrastructure.	+22% YoY
PCM	85	100	Computer Science	IIT Madras	B.Tech Computer Science	220000	Medium	93	Data Scientist	Analyze complex datasets to drive strategic business decisions.	+20% YoY
PCM	85	100	Computer Science	IIT Kharagpur	B.Tech Computer Science	200000	Medium	92	Cybersecurity Engineer	Protect organizational systems from cyber threats and vulnerabilities.	+19% YoY
PCM	85	100	Computer Science	IIT Kanpur	B.Tech Computer Science	210000	Medium	91	ML Research Scientist	Conduct cutting-edge research in machine learning and AI.	+21% YoY
PCM	85	100	Computer Science	BITS Pilani	B.E. Computer Science	320000	High	90	Full Stack Developer	Build end-to-end web applications using modern frameworks.	+17% YoY
PCM	85	100	Computer Science	IIT Roorkee	B.Tech Computer Science	205000	Medium	89	Cloud Architect	Design and manage cloud infrastructure on AWS/GCP/Azure.	+18% YoY
PCM	85	100	Computer Science	IIT Hyderabad	B.Tech Computer Science	200000	Medium	88	DevOps Engineer	Automate and streamline software deployment pipelines.	+16% YoY
PCM	85	100	Computer Science	IIT Guwahati	B.Tech Computer Science	195000	Medium	87	Blockchain Developer	Build decentralized applications and smart contracts.	+15% YoY
PCM	85	100	Computer Science	IIIT Hyderabad	B.Tech Computer Science	350000	High	89	Product Engineer	Drive end-to-end product development at top tech companies.	+18% YoY
PCM	85	100	Electronics	IIT Bombay	B.Tech Electrical Engineering	250000	Medium	90	VLSI Design Engineer	Design integrated circuits for semiconductor companies.	+16% YoY
PCM	85	100	Electronics	IIT Delhi	B.Tech Electronics & Communication	230000	Medium	89	Embedded Systems Engineer	Develop firmware and embedded software for IoT devices.	+14% YoY
PCM	85	100	Electronics	IIT Madras	B.Tech Electrical Engineering	220000	Medium	88	Signal Processing Engineer	Design algorithms for audio, video and communications systems.	+13% YoY
PCM	85	100	Electronics	IIT Kharagpur	B.Tech ECE	200000	Medium	87	RF Engineer	Design radio-frequency systems for telecom and defense.	+12% YoY
PCM	85	100	Electronics	BITS Pilani	B.E. Electronics	320000	High	86	Hardware Engineer	Design and test electronic hardware for consumer products.	+11% YoY
PCM	85	100	Mechanical	IIT Bombay	B.Tech Mechanical Engineering	250000	Medium	88	Aerospace Engineer	Design aircraft and spacecraft components and systems.	+15% YoY
PCM	85	100	Mechanical	IIT Delhi	B.Tech Mechanical Engineering	230000	Medium	87	Automotive Engineer	Develop next-generation electric and autonomous vehicles.	+14% YoY
PCM	85	100	Mechanical	BITS Pilani	B.E. Mechanical	550000	High	92	Robotics Engineer	Design and build advanced robotics and automation systems.	+18% YoY
PCM	85	100	Mechanical	IIT Madras	B.Tech Mechanical Engineering	220000	Medium	86	Manufacturing Engineer	Optimize production lines and manufacturing processes.	+10% YoY
PCM	85	100	Mechanical	IIT Roorkee	B.Tech Mechanical Engineering	205000	Medium	85	Energy Engineer	Develop renewable energy systems and efficiency solutions.	+20% YoY
PCM	85	100	Civil	IIT Bombay	B.Tech Civil Engineering	250000	Medium	85	Structural Engineer	Design bridges, buildings and large infrastructure projects.	+8% YoY
PCM	85	100	Civil	IIT Delhi	B.Tech Civil Engineering	230000	Medium	84	Urban Planner	Plan sustainable cities and transportation networks.	+9% YoY
PCM	85	100	Civil	IIT Roorkee	B.Tech Civil Engineering	205000	Medium	83	Geotechnical Engineer	Analyze soil and rock for construction projects.	+7% YoY
PCM	85	100	Mathematics	IIT Bombay	B.S. Mathematics	220000	Medium	88	Quantitative Analyst	Apply mathematical models to financial markets and risk.	+22% YoY
PCM	85	100	Mathematics	IIT Delhi	B.Tech Mathematics & Computing	230000	Medium	87	Actuarial Analyst	Assess financial risks using statistical and mathematical models.	+18% YoY
PCM	85	100	Mathematics	Chennai Mathematical Institute	B.Sc Mathematics & CS	80000	Medium	86	Research Mathematician	Conduct theoretical research in pure and applied mathematics.	+10% YoY
PCM	85	100	Mathematics	ISI Kolkata	B.Stat	20000	Hard	90	Data Scientist (Research)	Apply statistical theory to complex real-world datasets.	+20% YoY
PCM	60	84	Computer Science	NIT Warangal	B.Tech Computer Science	250000	High	82	Software Developer	Build scalable web and mobile applications.	+15% YoY
PCM	60	84	Computer Science	NIT Trichy	B.Tech Computer Science	225000	High	81	Backend Developer	Design APIs and server-side architectures for web platforms.	+14% YoY
PCM	60	84	Computer Science	NIT Surathkal	B.Tech Computer Science	220000	High	80	Frontend Developer	Create responsive user interfaces using React and Vue.js.	+13% YoY
PCM	60	84	Computer Science	NIT Calicut	B.Tech Computer Science	215000	High	79	Mobile App Developer	Build cross-platform apps for Android and iOS.	+16% YoY
PCM	60	84	Computer Science	IIIT Allahabad	B.Tech IT	270000	High	78	QA Automation Engineer	Build automated test suites and ensure software quality.	+12% YoY
PCM	60	84	Computer Science	VIT Vellore	B.Tech Computer Science	370000	High	77	Game Developer	Design and develop video games using Unity and Unreal.	+14% YoY
PCM	60	84	Computer Science	Manipal IT	B.Tech Computer Science	490000	High	76	Systems Analyst	Analyze and improve IT systems for businesses.	+10% YoY
PCM	60	84	Computer Science	SRM Chennai	B.Tech Computer Science	350000	High	75	Network Engineer	Design and maintain enterprise-level network infrastructure.	+9% YoY
PCM	60	84	Computer Science	Thapar Patiala	B.Tech Computer Science	365000	High	77	Database Administrator	Manage and optimize relational and NoSQL databases.	+11% YoY
PCM	60	84	Computer Science	PSG Tech Coimbatore	B.Tech IT	145000	High	76	ERP Consultant	Implement and customize enterprise resource planning systems.	+8% YoY
PCM	60	84	Mechanical	VIT Vellore	B.Tech Mechanical	400000	High	85	Mechanical Designer	Work on CAD modeling and product design mechanisms.	+10% YoY
PCM	60	84	Mechanical	NIT Warangal	B.Tech Mechanical	230000	High	80	Production Engineer	Oversee manufacturing operations and process optimization.	+9% YoY
PCM	60	84	Mechanical	NIT Trichy	B.Tech Mechanical	220000	High	79	HVAC Engineer	Design heating, ventilation, and air conditioning systems.	+8% YoY
PCM	60	84	Mechanical	Thapar Patiala	B.Tech Mechanical	360000	High	78	Quality Engineer	Implement quality control systems in manufacturing plants.	+7% YoY
PCM	60	84	Mechanical	SRM Chennai	B.Tech Mechanical	340000	High	77	Maintenance Engineer	Manage preventive maintenance of industrial machinery.	+6% YoY
PCM	60	84	Mechanical	Manipal MIT	B.Tech Mechanical	480000	High	76	Tool Design Engineer	Design jigs, fixtures, and tooling for manufacturing.	+7% YoY
PCM	60	84	Civil	NIT Warangal	B.Tech Civil	225000	High	78	Site Engineer	Supervise and coordinate on-site construction activities.	+8% YoY
PCM	60	84	Civil	NIT Trichy	B.Tech Civil	220000	High	77	Highway Engineer	Design and maintain road and highway infrastructure.	+7% YoY
PCM	60	84	Civil	VIT Vellore	B.Tech Civil	390000	High	76	Environmental Engineer	Address pollution control and waste management challenges.	+9% YoY
PCM	60	84	Electronics	NIT Warangal	B.Tech ECE	230000	High	79	Telecom Engineer	Design and maintain mobile and broadband networks.	+11% YoY
PCM	60	84	Electronics	NIT Trichy	B.Tech ECE	225000	High	78	Instrumentation Engineer	Design measurement and control systems for industry.	+8% YoY
PCM	60	84	Electronics	VIT Vellore	B.Tech ECE	390000	High	77	IoT Developer	Build connected device solutions and smart systems.	+15% YoY
PCM	0	59	Computer Science	Local Engineering College	B.Tech IT	150000	High	75	IT Support Specialist	Manage and support IT infrastructure and networks.	+5% YoY
PCM	0	59	Computer Science	Amity University	B.Tech Computer Science	500000	High	70	Junior Developer	Write and maintain code under senior developer supervision.	+7% YoY
PCM	0	59	Computer Science	Chandigarh University	B.Tech IT	350000	High	68	Technical Support Engineer	Resolve software and hardware issues for enterprise clients.	+5% YoY
PCM	0	59	Computer Science	Sharda University	B.Tech CS	430000	High	67	Web Designer	Create visually appealing website layouts and interfaces.	+6% YoY
PCM	0	59	Mechanical	Lovely Professional University	B.Tech Mechanical	300000	High	65	Junior Mechanical Engineer	Support senior engineers in design and testing tasks.	+5% YoY
PCM	0	59	Civil	Chitkara University	B.Tech Civil	350000	High	64	Junior Site Engineer	Assist in construction supervision and site documentation.	+4% YoY
PCB	85	100	Medical	AIIMS Delhi	MBBS	5000	Hard	98	Surgeon	Perform life-saving surgeries and specialized medical care.	+12% YoY
PCB	85	100	Medical	AIIMS Mumbai	MBBS	5000	Hard	97	Cardiologist	Diagnose and treat cardiovascular diseases and conditions.	+13% YoY
PCB	85	100	Medical	AIIMS Jodhpur	MBBS	5000	Hard	96	Neurologist	Diagnose and treat disorders of the nervous system.	+14% YoY
PCB	85	100	Medical	JIPMER Puducherry	MBBS	1000	Hard	95	Oncologist	Diagnose and treat cancer using advanced therapies.	+15% YoY
PCB	85	100	Medical	Maulana Azad Medical College	MBBS	10000	Hard	94	Orthopedic Surgeon	Treat musculoskeletal injuries and conditions surgically.	+11% YoY
PCB	85	100	Medical	Grant Medical College Mumbai	MBBS	50000	Hard	92	Pediatrician	Provide healthcare for infants, children, and adolescents.	+10% YoY
PCB	85	100	Medical	Madras Medical College	MBBS	30000	Hard	91	Psychiatrist	Diagnose and treat mental health disorders.	+18% YoY
PCB	85	100	Medical	King George's Medical University	MBBS	60000	Hard	90	Radiologist	Interpret medical images to diagnose diseases.	+12% YoY
PCB	85	100	Pharmacy	Jamia Hamdard	B.Pharm	50000	High	85	Clinical Pharmacist	Optimize patient medication plans in hospital settings.	+10% YoY
PCB	85	100	Pharmacy	JSS College of Pharmacy	B.Pharm	200000	High	84	Regulatory Affairs Specialist	Ensure pharmaceutical products meet regulatory standards.	+12% YoY
PCB	85	100	Biotechnology	IIT Bombay	B.Tech Biotechnology	250000	Medium	88	Bioinformatics Scientist	Analyze genomic data using computational tools.	+20% YoY
PCB	85	100	Biotechnology	IIT Delhi	B.Tech Biotechnology	230000	Medium	87	Genetic Counselor	Guide patients on genetic risks and testing options.	+18% YoY
PCB	85	100	Veterinary	ICAR-IVRI	B.V.Sc & AH	10000	Hard	86	Veterinary Surgeon	Provide surgical and medical care for animals.	+9% YoY
PCB	60	84	Medical	KMC Manipal	MBBS	1500000	High	85	General Physician	Diagnose and treat everyday health issues and illnesses.	+10% YoY
PCB	60	84	Medical	Kasturba Medical College Mangalore	MBBS	1400000	High	84	Family Medicine Doctor	Provide comprehensive primary care to individuals and families.	+9% YoY
PCB	60	84	Medical	JSS Medical College	MBBS	1200000	High	83	Emergency Medicine Physician	Manage critical medical emergencies in hospital settings.	+11% YoY
PCB	60	84	Medical	Amrita School of Medicine	MBBS	1300000	High	82	Anesthesiologist	Administer anesthesia and manage patients during surgery.	+10% YoY
PCB	60	84	Medical	Sri Ramachandra Medical College	MBBS	1250000	High	81	Dermatologist	Diagnose and treat skin disorders and cosmetic conditions.	+16% YoY
PCB	60	84	Medical	Saveetha Medical College	MBBS	900000	High	80	Gynecologist	Provide reproductive and maternal health care to women.	+10% YoY
PCB	60	84	Pharmacy	Poona College of Pharmacy	B.Pharm	120000	High	78	Drug Safety Specialist	Monitor adverse drug reactions for pharmaceutical companies.	+10% YoY
PCB	60	84	Biotechnology	SRM Chennai	B.Tech Biotechnology	350000	High	79	Biomedical Researcher	Conduct lab research to develop new medical treatments.	+15% YoY
PCB	60	84	Biotechnology	VIT Vellore	B.Tech Biotechnology	390000	High	78	Quality Control Analyst	Ensure quality standards in biotech manufacturing.	+9% YoY
PCB	60	84	Allied Health	Manipal College of Allied Health	B.Sc Physiotherapy	400000	High	77	Physiotherapist	Rehabilitate patients with mobility and musculoskeletal issues.	+12% YoY
PCB	60	84	Allied Health	Amrita	B.Sc Occupational Therapy	350000	High	76	Occupational Therapist	Help patients regain daily functional abilities post-injury.	+11% YoY
PCB	60	84	Allied Health	KMC Manipal	B.Sc Medical Lab Technology	400000	High	75	Lab Technician (Senior)	Perform and interpret complex diagnostic laboratory tests.	+9% YoY
PCB	0	59	Medical	Private Nursing College	B.Sc Nursing	100000	High	80	Registered Nurse	Provide direct patient care and medical support.	+15% YoY
PCB	0	59	Medical	Government Nursing College	B.Sc Nursing	30000	High	79	Community Health Nurse	Deliver health services in rural and underserved communities.	+12% YoY
PCB	0	59	Allied Health	Private Paramedical College	B.Sc Medical Lab Technology	80000	High	72	Lab Technician	Conduct routine diagnostic tests in clinical laboratories.	+8% YoY
PCB	0	59	Allied Health	Private Physiotherapy College	B.Sc Physiotherapy	90000	High	71	Junior Physiotherapist	Assist senior physiotherapists in patient rehabilitation.	+10% YoY
PCB	0	59	Pharmacy	Local Pharmacy College	D.Pharm	60000	High	70	Pharmacist (Retail)	Dispense medications and advise patients at retail pharmacies.	+5% YoY
PCB	0	59	Biotechnology	Amity University	B.Sc Biotechnology	450000	High	65	Research Assistant	Support laboratory research under senior scientists.	+7% YoY
Commerce	85	100	Business/MBA	SRCC Delhi	B.Com Honors	120000	Medium	90	Investment Banker	Manage corporate finance and large-scale investments.	+20% YoY
Commerce	85	100	Business/MBA	LSR Delhi	B.Com Honors	80000	Medium	89	Management Consultant	Advise top organizations on strategy and operational efficiency.	+22% YoY
Commerce	85	100	Business/MBA	St. Xavier's Mumbai	B.Com	90000	High	88	Chartered Accountant	Audit financial statements and advise on tax planning.	+15% YoY
Commerce	85	100	Business/MBA	NIFT Delhi	B.Des Fashion	350000	High	87	Fashion Entrepreneur	Build and grow a fashion brand in retail or luxury market.	+18% YoY
Commerce	85	100	Economics	Delhi School of Economics	M.A. Economics	30000	Hard	90	Economist	Research and analyze economic trends for policy development.	+12% YoY
Commerce	85	100	Economics	Presidency College Kolkata	B.Sc Economics	25000	Medium	88	Economic Analyst	Analyze economic data to guide corporate strategy.	+14% YoY
Commerce	85	100	Business/MBA	IIM Ahmedabad (IPM)	Integrated MBA	1200000	Hard	92	Strategic Consultant	Lead high-impact strategy engagements for Fortune 500 firms.	+25% YoY
Commerce	85	100	Business/MBA	IIM Indore (IPM)	Integrated MBA	1100000	Hard	90	Brand Manager	Develop and execute brand strategy for consumer goods.	+18% YoY
Commerce	85	100	Law	NLSIU Bangalore	B.A. LL.B.	100000	Hard	91	Corporate Lawyer	Advise companies on mergers, acquisitions, and compliance.	+20% YoY
Commerce	85	100	Law	NALSAR Hyderabad	B.A. LL.B.	100000	Hard	90	Litigation Advocate	Represent clients in civil and commercial courts.	+15% YoY
Commerce	85	100	Finance	NISM Mumbai	B.Sc Finance	80000	High	87	Portfolio Manager	Manage investment portfolios for high-net-worth clients.	+19% YoY
Commerce	60	84	Business/MBA	Christ University	BBA	250000	High	85	Financial Analyst	Analyze market trends and provide financial recommendations.	+18% YoY
Commerce	60	84	Business/MBA	Symbiosis BBA	BBA	280000	High	84	Marketing Manager	Plan and execute marketing campaigns for brands.	+15% YoY
Commerce	60	84	Business/MBA	Amity University	BBA	420000	High	82	Business Development Executive	Identify and pursue new revenue opportunities.	+14% YoY
Commerce	60	84	Business/MBA	NMIMS Mumbai	B.Com	270000	High	83	Tax Consultant	Guide clients through tax filing and planning strategies.	+12% YoY
Commerce	60	84	Business/MBA	Jain University Bangalore	BBA	260000	High	81	HR Manager	Recruit talent and manage organizational culture.	+11% YoY
Commerce	60	84	Business/MBA	MITSOM Pune	BBA	200000	High	80	Operations Manager	Coordinate business operations and supply chain activities.	+10% YoY
Commerce	60	84	Business/MBA	Lovely Professional University	B.Com Honors	280000	High	78	Retail Manager	Oversee store operations and drive sales performance.	+8% YoY
Commerce	60	84	Accounting	ICAI Foundation	CA Foundation	50000	High	86	Chartered Accountant (Trainee)	Complete articleship and qualify as a licensed CA.	+16% YoY
Commerce	60	84	Economics	Fergusson College Pune	B.A. Economics	40000	High	79	Research Analyst	Gather and interpret economic data for business insights.	+12% YoY
Commerce	60	84	Law	Symbiosis Law School	B.A. LL.B.	480000	High	82	Legal Associate	Draft contracts and provide legal research support.	+14% YoY
Commerce	0	59	Business/MBA	Tier-3 Commerce College	B.Com	50000	High	75	Accountant	Maintain financial records and manage tax documentation.	+8% YoY
Commerce	0	59	Business/MBA	Local BBA College	BBA	80000	High	70	Sales Executive	Meet sales targets through client outreach and pitching.	+6% YoY
Commerce	0	59	Business/MBA	Distance Commerce College	B.Com (Distance)	20000	High	65	Bookkeeper	Record daily financial transactions for small businesses.	+4% YoY
Commerce	0	59	Business/MBA	IGNOU	B.Com	5000	High	63	Bank Clerk	Handle cash transactions and customer service at banks.	+5% YoY
Arts	85	100	Psychology	Delhi University	B.A. Psychology	80000	High	89	Clinical Psychologist	Provide mental health counseling and therapy.	+22% YoY
Arts	85	100	Psychology	TISS Mumbai	M.A. Applied Psychology	50000	Hard	90	Industrial Psychologist	Improve workplace wellbeing and organizational behavior.	+20% YoY
Arts	85	100	Psychology	Christ University Bangalore	B.Sc Psychology	230000	High	87	School Counselor	Support students' emotional and academic development.	+18% YoY
Arts	85	100	Design	NID Ahmedabad	B.Des	300000	Medium	91	UI/UX Designer	Create beautiful and intuitive user interfaces.	+25% YoY
Arts	85	100	Design	NID Bengaluru	B.Des Industrial Design	290000	Medium	90	Industrial Designer	Design functional and aesthetic consumer products.	+18% YoY
Arts	85	100	Design	NIFT Delhi	B.Des Fashion	350000	High	89	Fashion Designer	Create original clothing and accessory collections.	+14% YoY
Arts	85	100	Design	NIFT Mumbai	B.Des Textile	340000	High	88	Textile Designer	Develop fabric designs for apparel and home furnishings.	+12% YoY
Arts	85	100	Journalism	IIMC Delhi	PG Diploma Journalism	25000	Hard	88	Investigative Journalist	Research and publish impactful stories on social issues.	+10% YoY
Arts	85	100	Journalism	Asian College of Journalism	PG Diploma	200000	High	86	Broadcast Journalist	Present and produce news content for television media.	+9% YoY
Arts	85	100	Law	NLSIU Bangalore	B.A. LL.B.	100000	Hard	92	Human Rights Lawyer	Advocate for civil liberties and fundamental rights.	+16% YoY
Arts	85	100	History	JNU New Delhi	M.A. History	10000	Hard	85	Historian / Archivist	Research and preserve historical records and artifacts.	+6% YoY
Arts	85	100	Political Science	JNU New Delhi	M.A. Political Science	10000	Hard	86	Policy Analyst	Analyze public policies and recommend improvements.	+12% YoY
Arts	85	100	English Literature	Delhi University	B.A. English (Hons)	70000	High	85	Editor	Review and refine manuscripts for publishing houses.	+10% YoY
Arts	85	100	Sociology	TISS Mumbai	B.A. Social Work	45000	High	84	Social Worker	Empower vulnerable communities through fieldwork.	+15% YoY
Arts	85	100	Fine Arts	MS University Baroda	B.F.A.	30000	High	83	Visual Artist	Create original artworks for galleries and commissions.	+8% YoY
Arts	85	100	Mass Communication	Symbiosis Pune	B.M.C.	250000	High	87	Digital Marketing Manager	Drive brand visibility through SEO and social media.	+25% YoY
Arts	60	84	Design	NID Ahmedabad	B.Des	300000	Medium	85	UI/UX Designer	Create beautiful and intuitive user interfaces for digital products.	+25% YoY
Arts	60	84	Design	Pearl Academy Delhi	B.Des Fashion	600000	High	82	Graphic Designer	Create visual content for brands across digital and print.	+13% YoY
Arts	60	84	Design	Arena Animation	Diploma in Animation	150000	High	80	Animator	Produce animated content for films, games and ads.	+16% YoY
Arts	60	84	Journalism	YMCA Delhi	B.Sc Mass Communication	60000	High	78	Content Producer	Create multimedia content for online news platforms.	+12% YoY
Arts	60	84	Psychology	Fergusson College Pune	B.A. Psychology	40000	High	77	Counseling Psychologist	Provide therapy to individuals dealing with personal challenges.	+18% YoY
Arts	60	84	Humanities	Miranda House Delhi	B.A. Humanities	75000	High	76	Social Media Manager	Manage brand presence across social media platforms.	+20% YoY
Arts	60	84	Mass Communication	Manipal University	B.A. Mass Communication	490000	High	79	PR Executive	Manage public image and media relations for organizations.	+14% YoY
Arts	60	84	Law	Amity Law School	B.A. LL.B.	600000	High	78	Legal Assistant	Support attorneys with case research and documentation.	+10% YoY
Arts	60	84	Education	Azim Premji University	B.Ed	250000	High	75	Teacher (Secondary)	Educate secondary school students in humanities subjects.	+8% YoY
Arts	60	84	Sociology	Jamia Millia Islamia	B.A. Social Work	50000	High	74	NGO Program Coordinator	Plan and implement social development programs.	+10% YoY
Arts	0	59	General	Symbiosis Pune	Liberal Arts	250000	High	70	Content Writer	Create engaging written content for digital media and marketing.	+12% YoY
Arts	0	59	General	Amity University	B.A. English	400000	High	65	Copywriter	Write persuasive marketing and advertising copy.	+10% YoY
Arts	0	59	General	IGNOU	B.A. (Distance)	5000	High	62	Data Entry Operator	Input and manage data for organizational databases.	+3% YoY
Arts	0	59	Education	Local B.Ed College	B.Ed	60000	High	68	Primary School Teacher	Teach foundational subjects to primary school students.	+7% YoY
Arts	0	59	Fine Arts	Local Art College	B.F.A.	40000	High	65	Illustrator (Freelance)	Create illustrations for books, websites and social media.	+9% YoY
Arts	0	59	Mass Communication	Regional Media College	B.Sc Media Studies	90000	High	66	Video Editor	Edit raw footage into polished video content.	+11% YoY
PCM	85	100	Computer Science	Vellore Institute of Technology (Chennai Campus)	B.Tech CS (Specialization: AI & ML)	390000	High	86	AI Product Manager	Lead AI-driven product development for tech startups.	+22% YoY
PCM	85	100	Computer Science	Symbiosis Institute of Technology Pune	B.Tech Computer Science	620000	High	85	Cloud Solutions Architect	Design scalable cloud solutions for enterprise clients.	+20% YoY
PCM	85	100	Computer Science	Kalinga Institute of Industrial Technology (KIIT)	B.Tech CS	380000	High	84	Data Engineer	Build robust data pipelines and warehouses.	+18% YoY
PCM	85	100	Computer Science	Manipal University Jaipur	B.Tech CS	450000	High	83	Cybersecurity Analyst	Monitor and respond to network threats in real time.	+19% YoY
PCM	85	100	Computer Science	Shiv Nadar University	B.Tech CS	450000	High	87	Software Engineer (SDE-2)	Develop and maintain large-scale software systems.	+17% YoY
PCM	85	100	Computer Science	Ashoka University	B.Sc CS & Math	820000	High	85	Quantitative Developer	Build algorithmic trading systems for financial firms.	+21% YoY
PCM	85	100	Computer Science	OP Jindal Global University	B.Tech CS	750000	High	83	Tech Entrepreneur	Found and scale a technology startup.	+25% YoY
PCM	85	100	Computer Science	MIT World Peace University Pune	B.Tech CS (AI)	430000	High	82	NLP Engineer	Build natural language processing systems and chatbots.	+22% YoY
PCM	85	100	Computer Science	Presidency University Bangalore	B.Tech CS	380000	High	80	AR/VR Developer	Create immersive augmented and virtual reality experiences.	+20% YoY
PCM	85	100	Computer Science	Amrita Vishwa Vidyapeetham	B.Tech CS	390000	High	82	Computer Vision Engineer	Build image recognition systems for robotics and healthcare.	+21% YoY
PCM	85	100	Computer Science	Lovely Professional University	B.Tech CS (Hons)	310000	High	79	Game Engine Developer	Develop core systems for video game engines.	+15% YoY
PCM	85	100	Computer Science	Chandigarh University	B.Tech CS (AI & ML)	360000	High	80	MLOps Engineer	Deploy and monitor machine learning models in production.	+20% YoY
PCM	85	100	Computer Science	Jain University Bangalore	B.Tech CS	300000	High	78	Platform Engineer	Build internal developer platforms and toolchains.	+16% YoY
